Timestamp,Series_No,Product_No,Turning_Cut_Depth,Milling_Gear_Depth,Drilling_Surf_Quality,Drill_Pressure
Timestamp: 01/01/15 01:01:01,XK00001402,5859,0.6151586782964458,0.3020451083484841,0.6527049221841967,3.5323577441252656
Timestamp: 01/01/15 01:03:55,XK00001402,6212,0.6454135295621788,0.32017689548425143,0.207443691167852,4.0141328076682905
Timestamp: 01/01/15 01:04:57,XK00001402,7079,0.6378608972355599,0.30271082502088353,0.9099926923327376,4.377262747737183
Timestamp: 01/01/15 01:05:58,XK00001402,61,0.6356848595050715,0.3016394280379343,0.010165616340233415,4.190311742846098
Timestamp: 01/01/15 01:06:15,XK00001402,229,0.5990484984515727,0.2960176895484252,0.007966080847399965,4.8967102481107485
Timestamp: 01/01/15 01:10:04,XK00001402,8004,0.7672784612324917,0.2804986487150509,0.3865900688078373,3.8086738732858767
Timestamp: 01/01/15 01:11:14,XK00001402,5874,0.6334858084495838,0.2860643703012137,0.6532837473138896,4.890540844924528
Timestamp: 01/01/15 01:16:01,XK00001402,4172,0.6288447879080605,0.3695525527001131,0.6395366504836808,4.382635939506216
Timestamp: 01/01/15 01:18:09,XK00001402,8021,0.6762718413501152,0.2792650975382045,0.3916547886926511,4.508247937886749
Timestamp: 01/02/15 01:22:05,XK00001402,6606,0.6566960252294229,0.30224146233600313,0.5266657501935447,3.5709321978096757
Timestamp: 01/03/15 01:24:55,XK00001402,3528,0.600134386453391,0.35532484890177385,0.2950633451751307,4.873385680651486
Timestamp: 01/03/15 01:27:21,XK00001402,1768,0.6483166178935705,0.3044107906245393,0.5048151015476336,4.814981399678297
Timestamp: 01/03/15 01:31:45,XK00001402,9387,0.7111302099610763,0.2642012677509705,0.9838652495098076,4.4424738251323
Timestamp: 01/03/15 01:36:18,XK00001402,790,0.6104852686308493,0.3104895091150313,0.3253793113428019,3.2142469471085544
Timestamp: 01/04/15 01:38:57,XK00001402,3917,0.7332528340483566,0.2686832096702865,0.6442396046624365,4.3113456806150765
Timestamp: 01/04/15 01:39:15,XK00001402,2847,0.6086782964457199,0.3687665470984227,0.3189398817749673,4.893414555793359
Timestamp: 01/04/15 01:45:07,XK00001402,549,0.6305622638293038,0.29971775342734996,0.3161904624089255,3.7160977370569657
Timestamp: 01/05/15 01:47:52,XK00001402,1868,0.6789473534676252,0.2985832637216844,0.8013906273740873,4.4981006983889005
Timestamp: 01/06/15 01:52:34,XK00001402,50,0.6234963207091515,0.2981946833079456,0.009622967781146205,3.3662433685682376
Timestamp: 01/07/15 01:58:20,XK00001402,2954,0.5726385771514619,0.4102638690973417,0.29745099883511444,3.5072520284601625
Timestamp: 01/08/15 01:59:17,XK00001402,5155,0.6147819416427538,0.27955461648076263,0.0627663500010853,4.362581918318982
Timestamp: 01/08/15 02:04:23,XK00001402,7171,0.6162164389010428,0.2982347796177092,0.9097756329091028,3.4727991656474133
Timestamp: 01/08/15 02:09:55,XK00001402,6224,0.6512520953490355,0.3051390103680409,0.20614133462604275,4.644536322977407
Timestamp: 01/08/15 02:10:01,XK00001402,6166,0.6409557632752791,0.3117649255564837,0.20266838384788474,4.0160345048553125
