Timestamp,Series_No,Product_No,Turning_Rotation_Speed,Drilling_Speed,Milling_Circle_Diameter,Turning_Cut_Speed,Drilling_Diameter,Turning_Shaft_Diameter
Timestamp: 01/01/15 01:01:01,XK00001402,4753,29.50247865848202,46.16693051960041,49.140063263908,0.6864615151504716,1.710275125458932,0.7570129107981219
Timestamp: 01/02/15 01:05:30,XK00001402,4720,29.278594054798926,44.68979930154266,49.12735323825896,0.6803765320072868,1.5963335846940558,0.7605927230046948
Timestamp: 01/02/15 01:07:16,XK00001402,3767,30.74807165739034,42.96447609806686,49.137540832550066,0.7764276637728273,1.4856301075781135,0.6344190140845071
Timestamp: 01/02/15 01:07:22,XK00001402,7589,29.14759203249996,47.75295508738573,?,0.6721650762603009,1.8315980586278269,0.5433978873239436
Timestamp: 01/02/15 01:12:02,XK00001402,9285,27.715696977289404,44.069908587725536,,0.601468040924697,1.5681659127372083,0.6365610328638496
Timestamp: 01/02/15 01:17:14,XK00001402,4988,28.714855844086124,45.47680123821009,49.1347321809429,0.651914514079487,1.6791653419070858,0.7683685446009388
Timestamp: 01/02/15 01:20:05,XK00001402,9884,27.49771820248045,45.43956065540283,,0.5779459824303429,1.6735770707710238,0.7300176056338027
Timestamp: 01/02/15 01:20:54,XK00001402,4338,32.70773305653489,45.8051311866311,49.13296684830881,0.9009408134661676,1.6975840050284363,0.7323063380281691
Timestamp: 01/02/15 01:25:18,XK00001402,9938,27.57556776491222,45.251472142237034,49.17562123643454,0.5860265783247872,1.6466628428073116,0.734213615023474
Timestamp: 01/02/15 01:31:08,XK00001402,9274,25.86770943321939,44.69498469914873,49.173527950792284,0.4770432216318223,1.6055603251990804,0.6375880281690139
Timestamp: 01/02/15 01:35:33,XK00001402,7583,28.57955867351505,47.537996786624824,49.165572874445324,0.6505077706646646,1.819359570750408,0.5433098591549295
Timestamp: 01/02/15 01:35:51,XK00001402,8323,25.800866188234874,42.841676454759366,49.12887297545338,0.4652592919104506,1.46940497144475,0.5493838028169014
Timestamp: 01/02/15 01:38:48,XK00001402,4859,29.351074681890577,45.84779286693561,49.10550817020318,0.6843023275835349,1.6954775227621952,0.7646126760563378
Timestamp: 01/02/15 01:43:31,XK00001402,9531,26.117096479768065,48.63133787186568,49.141795358061536,0.4909470809643682,1.8966239475605944,0.7380281690140844
Timestamp: 01/02/15 01:47:08,XK00001402,7534,28.132326359682875,46.92729836856392,?,0.6228963417783855,1.774026679665345,0.5421948356807511
Timestamp: 01/02/15 01:48:32,XK00001402,9097,27.408056982300412,44.7209116871791,49.171992517648704,0.5791891510294882,1.61177531833171,0.6406396713615022
Timestamp: 01/02/15 01:51:47,XK00001402,7518,28.125883637274733,47.269298910673676,49.13460292018517,0.6153064703309721,1.800662364519472,0.5425176056338027
Timestamp: 01/03/15 01:52:01,XK00001402,7364,29.794548740984663,46.90938517683384,49.137005323696634,0.7118156115804082,1.7698311240772115,0.5428697183098592
Timestamp: 01/03/15 01:55:01,XK00001402,8837,25.54498272992465,44.3206932719466,,0.46126479491161804,1.5758780750838606,0.6382335680751173
Timestamp: 01/04/15 01:58:05,XK00001402,4353,33.419653882635075,45.434375257796745,49.13505348625496,0.936469263431214,1.6632187488833081,0.7367370892018779
Timestamp: 01/05/15 02:01:59,XK00001402,2837,33.7154822198758,46.45825558510533,49.13340448830282,0.9431104009477008,1.7369978550348042,0.5372359154929577
Timestamp: 01/05/15 02:06:16,XK00001402,9881,28.4147323585733,44.87835921449082,49.16907491768859,0.6277054413592894,1.6247449818717914,0.728638497652582
Timestamp: 01/05/15 02:09:28,XK00001402,4874,30.859208618930865,44.78808615616689,49.1307915744145,0.767627338689404,1.6111660052794914,0.7626173708920188
Timestamp: 01/05/15 02:10:13,XK00001402,8542,27.04962685899386,44.147689551816654,49.13726569179435,0.5571785238319897,1.5654675263630975,0.5487676056338028
Timestamp: 01/05/15 02:15:44,XK00001402,7613,28.782504429371656,47.33388068085842,?,0.6456659561206252,1.7975461634809826,0.5419600938967135
Timestamp: 01/05/15 02:16:21,XK00001402,3621,30.63693469584981,44.26624659708283,49.17412255027782,0.7578128497487835,1.5863582595820205,0.6408450704225351
Timestamp: 01/05/15 02:21:30,XK00001402,7702,29.673747695831914,46.35808313135161,49.18998376854199,0.6923829234779793,1.7319318522292153,0.5313673708920188
Timestamp: 01/05/15 02:26:21,XK00001402,7586,27.914347584873923,47.076732099575345,,0.6079128886623713,1.7816866151789503,0.5424882629107981
Timestamp: 01/05/15 02:27:24,XK00001402,3623,32.68894178284446,44.27096059490653,49.12354189248829,0.898061896710252,1.5738934554280632,0.63412558685446
Timestamp: 01/06/15 02:31:38,XK00001402,8585,26.355262451455875,44.39140323930217,49.13475249334768,0.5032740790737877,1.5862015790828787,0.5495011737089199
Timestamp: 01/07/15 02:35:04,XK00001402,4575,31.132487427743076,46.36562552786955,49.14134663857399,0.8046933919218147,1.726952894145372,0.7500880281690139
